CIS_OBEC;NAZ_OBEC;TYP_OBEC;OKRSKY_CELKEM;OKRSKY_ZPRAC;OKRSKY_ZPRAC_PROC;ZAPSANI_VOLICI;VYDANE_OBALKY;UCAST_PROC;ODEVZDANE_OBALKY;PLATNE_HLASY;PLATNE_HLASY_PROC;KSTRANA;HLASY;PROC_HLASU
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;33;1;1.19
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;41;2;2.38
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;42;2;2.38
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;45;2;2.38
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;50;18;21.42
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;63;10;11.90
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;71;1;1.19
546186;Ryjice;OBEC_BEZ_MCMO;1;1;100.00;160;84;52.50;84;84;100.00;77;2;2.38
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;3;2;1.33
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;7;20;13.33
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;16;24;16.00
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;19;15;10.00
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;33;10;6.66
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;41;7;4.66
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;42;1;0.66
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;45;5;3.33
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;50;46;30.66
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;63;10;6.66
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;70;2;1.33
546925;Stebno;OBEC_BEZ_MCMO;1;1;100.00;395;151;38.23;151;150;99.34;77;8;5.33
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;3;6;1.06
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;5;1;0.17
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;7;117;20.70
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;16;67;11.85
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;18;2;0.35
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;19;38;6.72
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;33;33;5.84
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;41;8;1.41
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;42;21;3.71
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;45;16;2.83
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;50;132;23.36
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;63;62;10.97
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;70;14;2.47
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;71;3;0.53
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;77;42;7.43
553697;Trmice;OBEC_BEZ_MCMO;2;2;100.00;2390;579;24.23;579;565;97.58;82;3;0.53
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;3;40;0.76
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;5;24;0.46
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;7;539;10.33
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;16;473;9.06
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;18;5;0.09
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;19;542;10.38
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;23;4;0.07
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;28;8;0.15
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;33;429;8.22
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;41;138;2.64
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;42;471;9.02
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;45;183;3.50
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;50;1465;28.08
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;63;318;6.09
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;70;167;3.20
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;71;17;0.32
501298;Ústí nad Labem-Severní Terasa;MCMO;20;20;100.00;15719;5283;33.61;5281;5217;98.79;75;14;0.26
